PodName, WatchTime, CreateTime, NodeName, ScheduledTime, RunTime, ScheduleLag, StartupLag, WatchLag, SchedToWatchLag, E2eLag, EventSchedLag
cpuspin51-ttkmz,2017-12-15 17:18:05.436302838 +0000 UTC m=+9.199556354,2017-12-15 17:18:01 +0000 UTC,hollow-node5-xt6vj,2017-12-15 17:18:03 +0000 UTC,2017-12-15 17:18:04 +0000 UTC,2s,1s,1.436302838s,2.436302838s,4.436302838s,-2562047h47m16.854775808s
cpuspin51-vzck9,2017-12-15 17:19:59.260796133 +0000 UTC m=+123.024049634,2017-12-15 17:18:03 +0000 UTC,hollow-node3-625kx,2017-12-15 17:19:57 +0000 UTC,2017-12-15 17:19:58 +0000 UTC,1m54s,1s,1.260796133s,2.260796133s,1m56.260796133s,-2562047h47m16.854775808s
cpuspin51-4hj5m,2017-12-15 17:21:10.955003435 +0000 UTC m=+194.718256941,2017-12-15 17:18:05 +0000 UTC,hollow-node1-c5p8g,2017-12-15 17:21:09 +0000 UTC,2017-12-15 17:21:10 +0000 UTC,3m4s,1s,955.003435ms,1.955003435s,3m5.955003435s,-2562047h47m16.854775808s
cpuspin51-7shkt,2017-12-15 17:18:08.202654672 +0000 UTC m=+11.965908178,2017-12-15 17:18:01 +0000 UTC,hollow-node5-w5bnc,2017-12-15 17:18:06 +0000 UTC,2017-12-15 17:18:07 +0000 UTC,5s,1s,1.202654672s,2.202654672s,7.202654672s,-2562047h47m16.854775808s
cpuspin51-9b7rb,2017-12-15 17:19:21.90436646 +0000 UTC m=+85.667619964,2017-12-15 17:18:02 +0000 UTC,hollow-node4-47gfh,2017-12-15 17:19:20 +0000 UTC,2017-12-15 17:19:21 +0000 UTC,1m18s,1s,904.36646ms,1.90436646s,1m19.90436646s,-2562047h47m16.854775808s
cpuspin51-nkv9v,2017-12-15 17:19:45.317353253 +0000 UTC m=+109.080606764,2017-12-15 17:18:03 +0000 UTC,hollow-node3-h9zcj,2017-12-15 17:19:43 +0000 UTC,2017-12-15 17:19:44 +0000 UTC,1m40s,1s,1.317353253s,2.317353253s,1m42.317353253s,-2562047h47m16.854775808s
cpuspin51-rbkcw,2017-12-15 17:20:40.246851766 +0000 UTC m=+164.010105272,2017-12-15 17:18:04 +0000 UTC,hollow-node2-4nfm6,2017-12-15 17:20:38 +0000 UTC,2017-12-15 17:20:39 +0000 UTC,2m34s,1s,1.246851766s,2.246851766s,2m36.246851766s,-2562047h47m16.854775808s
cpuspin51-9955c,2017-12-15 17:21:12.251191523 +0000 UTC m=+196.014445026,2017-12-15 17:18:05 +0000 UTC,hollow-node1-9zr7d,2017-12-15 17:21:10 +0000 UTC,2017-12-15 17:21:11 +0000 UTC,3m5s,1s,1.251191523s,2.251191523s,3m7.251191523s,-2562047h47m16.854775808s
cpuspin51-72ffx,2017-12-15 17:21:19.096330246 +0000 UTC m=+202.859583758,2017-12-15 17:18:05 +0000 UTC,hollow-node1-67bp4,2017-12-15 17:21:16 +0000 UTC,2017-12-15 17:21:18 +0000 UTC,3m11s,2s,1.096330246s,3.096330246s,3m14.096330246s,-2562047h47m16.854775808s
cpuspin51-bzb8m,2017-12-15 17:20:27.728492435 +0000 UTC m=+151.491745940,2017-12-15 17:18:04 +0000 UTC,hollow-node2-fjf9g,2017-12-15 17:20:25 +0000 UTC,2017-12-15 17:20:26 +0000 UTC,2m21s,1s,1.728492435s,2.728492435s,2m23.728492435s,-2562047h47m16.854775808s
cpuspin51-2xg82,2017-12-15 17:21:13.69209745 +0000 UTC m=+197.455350955,2017-12-15 17:18:05 +0000 UTC,hollow-node1-8pzmf,2017-12-15 17:21:12 +0000 UTC,2017-12-15 17:21:13 +0000 UTC,3m7s,1s,692.09745ms,1.69209745s,3m8.69209745s,-2562047h47m16.854775808s
cpuspin51-8x7s7,2017-12-15 17:18:12.741976266 +0000 UTC m=+16.505229771,2017-12-15 17:18:01 +0000 UTC,hollow-node5-s695n,2017-12-15 17:18:10 +0000 UTC,2017-12-15 17:18:11 +0000 UTC,9s,1s,1.741976266s,2.741976266s,11.741976266s,-2562047h47m16.854775808s
cpuspin51-zx768,2017-12-15 17:19:14.489915354 +0000 UTC m=+78.253168860,2017-12-15 17:18:02 +0000 UTC,hollow-node4-98wdx,2017-12-15 17:19:12 +0000 UTC,2017-12-15 17:19:13 +0000 UTC,1m10s,1s,1.489915354s,2.489915354s,1m12.489915354s,-2562047h47m16.854775808s
cpuspin51-hz46k,2017-12-15 17:20:41.412991836 +0000 UTC m=+165.176245351,2017-12-15 17:18:04 +0000 UTC,hollow-node2-2sdrf,2017-12-15 17:20:39 +0000 UTC,2017-12-15 17:20:40 +0000 UTC,2m35s,1s,1.412991836s,2.412991836s,2m37.412991836s,-2562047h47m16.854775808s
cpuspin51-f7q9d,2017-12-15 17:18:23.34846403 +0000 UTC m=+27.111717539,2017-12-15 17:18:01 +0000 UTC,hollow-node5-jw2jq,2017-12-15 17:18:22 +0000 UTC,2017-12-15 17:18:23 +0000 UTC,21s,1s,348.46403ms,1.34846403s,22.34846403s,-2562047h47m16.854775808s
cpuspin51-nhkj2,2017-12-15 17:19:45.770450562 +0000 UTC m=+109.533704095,2017-12-15 17:18:03 +0000 UTC,hollow-node3-hn4rq,2017-12-15 17:19:43 +0000 UTC,2017-12-15 17:19:44 +0000 UTC,1m40s,1s,1.770450562s,2.770450562s,1m42.770450562s,-2562047h47m16.854775808s
